V/cm3, E/V, S - salinity of sample, PT[umol/kg] - total phosphate, SiT[umol/kg] -total silicate, T[oC] - temperature of sample when titrated, W0[cm3] - volume of sample titrated, C[mol/kg] - concentration of acid titrant, DACID[g/cm3] - density of acid titrant 
0, -0.03249, 34.8, 0, 0, 20.05, 165.391, 0.20455, 1.02409
0, -0.03249
0.1, -0.0132
0.2, 0.00049
0.3, 0.01055
0.4, 0.01866
0.5, 0.02559
0.6, 0.03179
0.7, 0.03753
0.8, 0.043
0.9, 0.04831
1, 0.0536
1.1, 0.059
1.2, 0.0646
1.3, 0.0706
1.4, 0.0772
1.5, 0.08476
1.6, 0.09393
1.7, 0.10601
1.72, 0.10897
1.74, 0.11218
1.76, 0.11574
1.78, 0.11959
1.8, 0.1239
1.82, 0.12868
1.84, 0.13389
1.86, 0.13951
1.88, 0.14524
1.9, 0.15097
2, 0.17332
2.1, 0.18664
2.2, 0.1956
2.3, 0.20227
2.4, 0.20755
