0,-0.03249,34.8,0,0,20.05,165.39,0.20455,1.0241
0,-0.03249,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.1,-0.0132,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.2,0.00049,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.3,0.01055,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.4,0.01866,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.5,0.02559,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.6,0.03179,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.7,0.03753,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.8,0.043,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.9,0.04831,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,0.0536,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.1,0.059,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.2,0.0646,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.3,0.0706,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.4,0.0772,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.5,0.08476,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.6,0.09393,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.7,0.10601,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.72,0.10897,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.74,0.11218,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.76,0.11574,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.78,0.11959,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.8,0.1239,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.82,0.12868,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.84,0.13389,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.86,0.13951,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.88,0.14524,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.9,0.15097,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,0.17332,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.1,0.18664,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.2,0.1956,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.3,0.20227,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.4,0.20755,NaN,NaN,NaN,NaN,NaN,NaN,NaN
